Networks_age,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
SoM and Vis 5M,UF,BF,-0.00270288422651651,0.00567685122534872,0.998055838431374,-0.0223698053750933,0.0169640369220603
SoM and SoM 1M,BF,XF,0.00461003968504642,0.00990061880328701,0.998281052703839,-0.0296897299578337,0.0389098093279265
SoM and SoM 1M,XF,BF,-0.00461003968504641,0.00990061880328701,0.998281052703839,-0.0389098093279265,0.0296897299578337
SoM and SoM 7M,SF,XF,0.00487179137423074,0.0105288812560344,0.9983399864688,-0.0316045348892672,0.0413481176377287
SoM and SoM 7M,XF,SF,-0.00487179137423074,0.0105288812560344,0.9983399864688,-0.0413481176377287,0.0316045348892672
Lmb and Vis 5M,BF,UF,0.00287916411940374,0.0062325312977781,0.998354841548993,-0.0187128587685855,0.0244711870073929
Lmb and Vis 5M,UF,BF,-0.00287916411940374,0.0062325312977781,0.998354841548993,-0.0244711870073929,0.0187128587685855
SoM and Vis 7M,BF,UF,0.00431107567083394,0.00951233202569912,0.998520477048849,-0.0286435106768142,0.0372656620184821
SoM and Vis 7M,UF,BF,-0.00431107567083394,0.00951233202569912,0.998520477048849,-0.0372656620184821,0.0286435106768142
Vis and Vis 3M,BF,XF,0.00279725246138151,0.00625881795676707,0.998630992311072,-0.0188858381028729,0.0244803430256359
Vis and Vis 3M,XF,BF,-0.00279725246138151,0.00625881795676707,0.998630992311072,-0.0244803430256359,0.0188858381028729
SoM and SoM 7M,BF,UF,0.00467672432676639,0.0105288812560344,0.998677266442017,-0.0317996019367315,0.0411530505902643
SoM and SoM 7M,UF,BF,-0.00467672432676639,0.0105288812560344,0.998677266442017,-0.0411530505902643,0.0317996019367315
Lmb and Lmb 5M,UF,XF,0.00228793335438562,0.00552985441498542,0.999111332282798,-0.0168697310665182,0.0214455977752895
Lmb and Lmb 5M,XF,UF,-0.00228793335438562,0.00552985441498542,0.999111332282798,-0.0214455977752895,0.0168697310665182
SoM and SoM 5M,SF,UF,0.00204822641845221,0.00520425399197126,0.999329881108155,-0.0159814257310063,0.0200778785679108
SoM and SoM 5M,UF,SF,-0.00204822641845221,0.00520425399197126,0.999329881108155,-0.0200778785679108,0.0159814257310063
Vis and Vis 7M,BF,SF,0.0057596871514616,0.0147898333205426,0.999368786367848,-0.0454783097889706,0.0569976840918938
Vis and Vis 7M,SF,BF,-0.0057596871514616,0.0147898333205426,0.999368786367848,-0.0569976840918938,0.0454783097889706
Lmb and Lmb 3M,UF,XF,-0.00339808334768476,0.00905949734572533,0.999490046481084,-0.0347838662176905,0.027987699522321
Lmb and Lmb 3M,XF,UF,0.00339808334768476,0.00905949734572533,0.999490046481084,-0.027987699522321,0.0347838662176905
Lmb and SoM 7M,SF,UF,0.00227362354326922,0.00632076762348611,0.99959839376948,-0.0196240858584674,0.0241713329450059
Lmb and SoM 7M,UF,SF,-0.00227362354326922,0.00632076762348611,0.99959839376948,-0.0241713329450059,0.0196240858584674
SoM and Vis 7M,SF,XF,0.00341500462320036,0.00951233202569911,0.999602833875938,-0.0295395817244478,0.0363695909708485
